Date Created,Duration,Date Digitized,Physical Format,Episode Number,Program Title,Series Title
n.d.,0:30:00,,3/4 inch videotape,,Lab techs 3,
n.d.,0:30:00,,3/4 inch videotape,,Sustainable agriculture broll,
n.d.,0:30:00,,3/4 inch videotape,,"Broll 3 foot core samples, Arlington",
n.d.,0:30:00,,3/4 inch videotape,,Final fert font,
n.d.,0:30:00,,3/4 inch videotape,,Crave farm 5,
n.d.,0:30:00,,3/4 inch videotape,,Crave farm 4,
n.d.,0:34:00,,1 inch videotape,,Motorcycle chase tape,
n.d.,0:13:00,,1 inch videotape,,DOT experienced motorcycle course [promo],
1997,0:14:50,9/13/2016,DVCPRO,,Under the dome,
1997,0:14:50,,1 inch videotape,,Under the dome,
n.d.,0:30:00,,Betacamp SP,,Day with the big show,
n.d.,0:01:00,12/2/2013,Betacamp SP,,John F. Kennedy - Wisconsin TV spot,
n.d.,0:30:00,,Betacamp SP,,Coffee with Kennedy,
n.d.,0.041666667,,1 inch videotape,,Wisconsin parks [pledge],
n.d.,0.041666667,,D3,,Wisconsin parks [pledge],
3/27/1990,0.041666667,,VHS,,Treaty rights: Inouye interview,
n.d.,0:30:00,,D3,,Ojibwe episode 4,
n.d.,0:30:00,,D3,,Ojibwe episode 3,
n.d.,0:30:00,,D3,,Ojibwe episode 2,
n.d.,0:30:00,,D3,,Ojibwe episode 1,
n.d.,0:30:00,,3/4 inch videotape,,Parent 3,
n.d.,0:30:00,,3/4 inch videotape,,Parent 2,
n.d.,0:30:00,,3/4 inch videotape,,Parent 1,
n.d.,0:30:00,,3/4 inch videotape,,Glass blower:  Brent Cox,
n.d.,0:30:00,,3/4 inch videotape,,Mississippi pearls,
n.d.,0:06:27,,3/4 inch videotape,,Making movies,
n.d.,0:05:47,,3/4 inch videotape,,Vintage buildings / The Scarlet Letter,
1986?,0:30:00,,VHS,,Dave McClain remembered,
11/8/1985,0.041666667,,DVCPRO,,Fall from grace,
n.d.,0.041666667,,DVCPRO,,Hiroshima: The people's legacy,
11/12/1990,0.041666667,,VHS,,Legacy of war,
2005,0.041666667,,miniDV,,Earth walls,
n.d.,0:27:30,,miniDV,,The Lives of Sterling North,
2005?,0:30:00,,DVCPRO,,Earth walls,
10/4/2005,0:26:40,,DVCPRO,,Earth walls,
10/25/2005,0:30:00,,DVCPRO,,NCO: Serving community,
9/29/1977,0:59:02,3/2/2016,DVCPRO,,Sybil Robinson presents The Brontes,
2/18/2009,0:30:00,,HDCAM,,DTV digital conversion phone bank,
n.d.,0.041666667,,miniDV,,The Hispanic connection,
8/15/2003,0:30:00,,miniDV,,Veto override,
2/2/2008,1:38:00,,DVD,,Rose,
2/2/2008,1:38:00,,DVCAM,,Rose,
n.d.,0:30:00,,Betacam SP,,Fireworks a-roll,
8/11/2011,2:00:00,,DVD,,Birch Creek: Unforgettable!,
n.d.,0:30:00,,Betacam SP,,Las Vegas interiors for KTNV,
n.d.,0:30:00,,Betacam SP,,Eleanor Roosevelt stills,
n.d.,0:30:00,,Betacam SP,,Fireworks b-roll,
n.d.,0:30:00,,Betacam SP,,Fireworks c-roll,
9/18/1997,0:30:00,,Betacam SP,,Supreme Court broll,
n.d,0:30:00,,Betacam SP,,Bill and Hillary Clinton; Ronald Reagan; Jimmy and Rosalyn Carter; Bob and Elizabeth Dole,
8/11/2011,02:002:00:00,,HDCAM,,Birch Creek: Unforgettable! Plus broll,
8/11/2011,0.041666667,,HDCAM,,"Birch Creek: Unforgettable!, tape 1 of 2",
8/11/2011,1:30:00,,DVD,,Birch Creek: Unforgettable!,
10/31/1995,0:30:00,,Betacam SP,,"Flag in studio, tape 2",
n.d.,0:30:00,,Betacam SP,,Fireworks 11,
8/11/2011,0.041666667,,HDCAM,,"Birch Creek: Unforgettable!, tape 2 of 2",
n.d.,0:30:00,,Betacam SP,,Gibraltor Rock,
1/8/1998,0:30:00,,Betacam SP,,Elvehjem interviews 4,
n.d.,0:30:00,,Betacam SP,,Landfill 2,
n.d.,0:05:00,12/18/2013,Betacam SP,,Sledding,
n.d.,0:04:24,,Betacam SP,,Mississippi: Reading river segment,
n.d.,0:07:49,,Betacam SP,,Mississippi: Mud Island segment,
n.d.,0:08:35,,3/4 inch videotape,,Mississippe: Clammer,
5/29/1998,1:08:20,,1 inch videotape,,Statehood day celebration,
2/4/1987,0:27:52,,3/4 inch videotape,,Wisconsin's greatest hits,
n.d.,0:30:00,,Betacam SP,,Wisconsin's recreational resources: A study in economic geography,
n.d.,0:30:00,,Betacam SP,,West Bend rocket production: Peace to war production,
n.d.,0.041666667,,DVCPRO,,Teaching and learning in the 21st century,
8/27/1987,,,,,"Proxmire's decision not to seek reelection, part 1",
1943,0:30:00,,Betacam SP,,The Strong shall be free,
10/23/1995,0.041666667,,Betacam SP,,University of Wisconsin System update: Regent's study,
9/11/2000,0.041666667,,Betacam SP,,Bill Moyers follow-up,
7/28/1998,1:30:00,,Betacam SP,,"CUES videoconference live!, tape 1 of 2",
7/28/1998,1:30:00,,Betacam SP,,"CUES videoconference live!, tape 2 of 2",
6/23/1998,1:30:00,,Betacam SP,,"CUES teleconference live!, part 2",
5/27/1992,0:30:00,,Betacam SP,,Mr. Smith makes a telephone call,
1992,0:06:00,,Betacam SP,,"Mr. Smith makes a telephone call, part 2",
1939,0:30:00,,Betacam SP,,On the march with local 72: Nash auto strike 1939,
1940,0:30:00,,Betacam SP,,"Janesville in 1940: (General Motors, Parker Pen)",
n.d.,0:30:00,,Betacam SP,,"Americans at work: Outboard Motors, West Bend",
n.d.,0:30:00,12/19/2013,Betacam SP,,Kohler Company strike,
11/13/1992,0:30:00,,3/4 inch videotape,,Fulfilling the vision,
2002-09,0:30:00,,Betacam SP,,"Ladysmith, Wisconsin tornado",
1995-01,0:10:00,,Betacam SP,,Gephardt gives Gingrich gavel [b],
n.d.,0:30:00,,Betacam SP,,"Bill and Hillary Clinton, Helmut Kohl, Ronald Reagan, Jimmy Carter, Michael Dukakis",
n.d.,0:30:00,,Betacam SP,,Photographs of all US presidents,
1/20/1961,0:17:00,,Betacam SP,,John F. Kennedy inaugural address,
n.d.,0:30:00,,Betacam SP,,John F. Kennedy and Jackie Kennedy b-roll,
1996,0:20:00,,Betacam SP,,Bob Doyle compaigning for president,
10/31/1995,0:30:00,,Betacam SP,,"Flag in studio, tape 1",
n.d.,0:10:00,,Betacam SP,,Roosevelt audio,
n.d.,0:10:00,,Betacam SP,,Truman whistle stop campaign,
n.d.,0:10:00,,Betacam SP,,Monica Lewinsky b-roll,
n.d.,0:10:00,,Betacam SP,,Truman election,
1/3/1996,0:15:00,,Betacam SP,,Presidential candidates for Iowa '96 [promos],
1979,0:15:00,,Betacam SP,,Nixon from War at Home,
11/12/1996,0:10:00,,Betacam SP,,"LOH, Gingrich, Armey: Front of White House [b]",
2/26/2003,0:30:00,,Betacam SP,,"Johnson Control, Inc. control group",
5/3/1995,0:30:00,,Betacam SP,,"Candidates Dole, Alexander Gramm",
12/12/1996,0:30:00,,Betacam SP,,Lincoln Memorial b-roll,
7/10/1996,0:20:00,,Betacam SP,,"Hillary Clinton, Ross Perot b-roll",
1996,0:30:00,,Betacam SP,,Dan Quayle b-roll,
10/18/1995,0:10:00,,Betacam SP,,Medicare debates with Congress floor footage [a],
n.d.,0:30:00,,Betacam SP,,"Presidential footage pool, Lake Tahoe UC Davis research",
n.d.,0:07:20,,Betacam SP,,National Archives stock footage,
8/24/2004,0:30:00,,Betacam SP,,President George Bush speech in Janesville,
10/28/2002,0:05:00,,Betacam SP,,Chronic Wasting disease (CWD): Deer collection station,
1997,0:30:00,,Betacam SP,,Bill Clinton and Al Gore at environmental forum in Lake Tahoe,
1997,0:30:00,,Betacam SP,,Bill Clinton speech in Lake Tahoe,
9/25/2002,0:02:16,,Betacam SP,,"Elk footage near Janesville, tape 1 of 2",
9/26/2002,0:05:00,,Betacam SP,,"Elk footage near Janesville, tape 2 of 2",
9/24/2004,0:30:00,,Betacam SP,,President George Bush in Janesville,
n.d.,0:30:00,,Betacam SP,,The Big picture: The Cobra strikes,
n.d.,0:30:00,,Betacam SP,,"Washingon, DC capitol",
n.d.,0:30:00,,D3,,Fort McCoy training and facilities broll,
1993,0:06:00,,Betacam SP,,Flood of 1993,
1996,0:05:00,,Betacam SP,,Bill Clinton/Al Gore spots,
n.d.,0:30:00,,Betacam SP,,Mississippi stories: Intro,
n.d.,0:30:00,,Betacam SP,,Mississippi stories: Intro,
3/8/2005,0:30:00,,DVCPRO,,"Auschwitz event with Peter Hayes, tape 2 of 2",
n.d.,0:58:30,,Betacam SP,,Reading the river: Stories of the Mississippi,
12/20/2007,0:17:01,,DVCPRO,,Grassworks,
3/8/2005,0:30:00,,DVCPRO,,"Auschwitz event with Peter Hayes, tape 1 of 2",
9/6/2007,0.041666667,,DVCPRO,,PBS toolkit (TKIT 105),
n.d.,0:30:00,,Betacam SP,,Mississippi stories: Intro,
n.d.,0:30:00,,Betacam SP,,Mississippi stories: Intro,
2006-05,0:05:00,,DVCPRO,,NAPT presenter tags and audio tags,
n.d.,0:05:50,12/17/2013,Betacam SP,,"Eagles near Sauk Prairie, Wisconsin",
12/21/1976,0:27:45,5/21/2015,3/4 inch videotape,,Wisconsin's central sands,
1992,0:11:00,,3/4 inch videotape,,USS Wisconsin: Interviews,
1/11/1992,0:30:00,,3/4 inch videotape,,"USS Wisconsin: Bruce Nason interview, tape 2 of 2",
9/15/2008,0:30:00,,DVCPRO,,"Any school, any time",
9/15/2008,0:30:00,,DVD,,"Any school, any time",
n.d.,0:21:00,,Betacam SP,,"National Archives footage, tape 1",
1998-02,0:58:30,,D3,,Reading the river: Stories of the Mississippi,
9/24/1991,0:57:58,,3/4 inch videotape,,Stop the church,
5/20/2008,0:26:46,,DVCPRO,,Shelter from the storm,
9/20/2001,0:10:19,,Betacam SP,,America responds [Local cut-in to the Newshour],
2/23/1994,1:30:00,,Betacam SP,,Wisconsin Manufacturers and Commerce video conference,
n.d.,1:30:00,,Betacam SP,,USS Wisconsin: Desert Storm b-roll,
11/4/1992,0:56:40,,Betacam SP,,Siberia: Children of the revolution,
2/16/1998,0:58:30,,D3,,Reading the river: Stories of the Mississippi,
1991,0:23:11,,1 inch videotape,,Stop the church,
9/24/1991,0:57:58,,VHS,,Stop the church,
9/24/1991,0:57:58,,3/4 inch videotape,,Stop the church,
9/24/1991,0:57:58,,3/4 inch videotape,,Stop the church,
9/24/1991,0:57:58,,3/4 inch videotape,,Stop the church,
2/16/1998,0:58:30,12/1/2013,DVCPRO,,Reading the river: Stories of the Mississippi,
1998-02,0:58:45,,VHS,,Reading the river: Stories of the Mississippi,
n.d.,0:30:00,,1 inch videotape,,Arkansas tape,
n.d.,0:08:18,,1 inch videotape,,Mississippi - Segment for Mississippi program,
7/15/1988,0:03:00,,1 inch videotape,,American Red Cross health services campaign,
n.d.,0:03:00,,1 inch videotape,,[no title] PSAs,
1987,0:03:00,,1 inch videotape,,It's time to turn to matters of the heart PSAs,
n.d.,0:20:00,12/18/2013,3/4 inch videotape,,University of Wisconsin campus scenes,
n.d.,0:11:15,,3/4 inch videotape,,Isle royale,
n.d.,0:30:00,,3/4 inch videotape,,Bryron Knight 40th birthday,
n.d.,0:30:00,,Betacam SP,,Foung Heu's field footage,
8/27/1992,0:30:00,,VHS,,Television laboratory 3: Early television clips,
n.d.,0:30:00,,3/4 inch videotape,,McPike High School b-roll,
n.d.,0:30:00,,3/4 inch videotape,,Bike safety,
11/9/1983,0:30:00,,3/4 inch videotape,,Kidney transplant - tape 2,
11/16/1984,0:30:00,,3/4 inch videotape,,Family farm,
7/7/1986,0:30:00,,3/4 inch videotape,,Gaylord Nelson 1: St. Croix River,
3/13/1989,0:30:00,,3/4 inch videotape,,Med tech drawing blood at Stoughton Hospital,
11/4/1992,0:56:40,,3/4 inch videotape,,Siberia: Children of the revolution,
3/29/1992,0:30:00,,3/4 inch videotape,,Heritage tourism re-edit,
n.d.,0:33:00,,3/4 inch videotape,,"Light house: Beacons of the North coast, tape 2 of 2",
1980,0:03:00,,3/4 inch videotape,,Last 23 seconds of the 1980 US hockey Olympic gold medal game and jubilation afterward,
10/29/1998,0:30:00,,Betacam SP,,Wisconsin kids vote 1998,
11/2/2000,0:28:02,,D3,,Wisconsin kids vote 2000,
2/14/1993,0.041666667,,Betacam SP,,COOP Extension teleconference: Equine science,
1/14/1998,0:30:00,,Betacam SP,,University of Wisconsin field house closing ceremony,
1973,,,VHS,,Ellington,
1973,0:22:03,2016-29-08,Betacam SP,,Ellington,
1973,,,D3,,Ellington,
1973,0:22:03,,Betacam SP,,Ellington,
10/15/1989,2:00:00,,VHS,,Dalai Lama in Wisconsin,
n.d.,1:13:00,,Betacam SP,,Liby landfill from the air,
2/14/1993,0.041666667,,Betacam SP,,COOP Extension teleconference: Equine science,
1/9/1987,0:30:00,,3/4 inch videotape,,Wisconsin's greatest hits - worktape,
1/21/1993,0.041666667,,Betacam SP,,COOP Extension teleconference: Income tax,
8/16/1986,0:57:45,,3/4 inch videotape,,"DCI championships, tape 2 of 2",
2008-10,0:00:30,,Betacam SP,,WBA DTV transition spot,
8/2/2004,0:25:27,,DVCAM,,Straight from the horses mouth: Why young Americans hate politics,
8/2/2004,0:25:27,,DVCAM,,Straight from the horses mouth: Why young Americans hate politics,
7/23/2007,0:30:00,,Betacam Digital,,PBS toolkit (TKIT 105),
n.d.,0.041666667,,3/4 inch videotape,,"Light house: Beacons of the North coast, tape 1 of 2",
8/23/2007,0:05:00,,HDCAM,,NAPT presenter tags,
2/3/2007,0:26:46,,DVCPRO,,Repairing the harm,
4/11/2008,0:10:00,,Betacam SP,,"Duluth, Minnesota snowfall",
2003-11,2:28:00,,DVCPRO,,Chemical terrorism preparedness: The Basics,
1981,0:28:43,2015-06,DVCPRO,,A delicate balance: The Great Lakes Fisheries,
n.d.,0:05:59,,3/4 inch videotape,,ITFS promo,
n.d.,,,,,University of Wisconsin campus scenes,
4/1/1990,0:57:46,,3/4 inch videotape,,Operation Earth Day: Interview with Gaylord Nelson,
4/1/1990,0:57:46,12/1/2013,3/4 inch videotape,,Operation Earth Day: Interview with Gaylord Nelson,
3/21/1990,0:57:46,,3/4 inch videotape,,Operation Earth Day: Interview with Gaylord Nelson,
4/1/1990,0:57:46,,3/4 inch videotape,,Operation Earth Day: Interview with Gaylord Nelson,
n.d.,0:08:31,,Betacam SP,,Just a thought,
3/8/1990,0.041666667,,3/4 inch videotape,,Operation Earth Day: Interview with Gaylord Nelson,
1991,0:30:00,12/2/2013,3/4 inch videotape,,Gaylord Nelson: A Profile,
n.d.,0.041666667,,Betacam SP,,Cooking marathons,
3/15/1997,1:30:00,,Betacam SP,,Wisconsin cooks Live!,
3/15/1997,1:30:00,,Betacam SP,,Wisconsin cooks Live! - tape 1 of 2,
11/4/1992,0:56:40,,1 inch videotape,,Siberia: Children of the revolution,
2008,0:50:50,,HDCAM,,IEEE special: Receiving DTV,
9/14/1998,0:55:00,,Betacam SP,,"National Archives, tape 1",
2/3/2004,0:56:08,,Betacam SP,,Conservation pathfinders,
1/20/2004,0.041666667,,Betacam SP,,Straight from the horse's mouth,
11/4/1992,0:56:46,,1 inch videotape,,Siberia: Children of the revolution,
1964,0.041666667,,Betacam SP,,Profiles in courage: Richard T. Ely,
1995-05,0:50:00,,Betacam SP,,University of Wisconsin campus shots,
10/21/1997,0.041666667,,Betacam SP,,"National Archives, tape 1",
2/9/1996,0.041666667,,Betacam SP,,Iowa '96: WWIR special and Citizens' town meeting,
6/4/1998,0.041666667,,Betacam SP,,"Pyle Center cornerstone ceremony, tape 1",
9/5/1995,0:30:00,,3/4 inch videotape,,Listen to the kids,
1/18/1996,0:58:00,,D3,,Act against violence: The peacemakers,
4/4/2008,0:26:46,,D3,,Shelter from the storm,
4/4/2008,0:26:46,,D3,,Shelter from the storm,
2/3/2007,0:26:46,,D3,,Repairing the harm,
1/18/1996,0:58:00,,Betacam SP,,Act against violence: The peacemakers,
1980,0:45:00,,Betacam SP,,Jimmy Carter campaign ads,
10/15/2004,1:30:00,,Betacam SP,,John Kerry at Madison Area Technical College (MATC),
2002,0:57:16,,Betacam SP,,Garage Rock USA,
11/10/1995,1:30:00,,Betacam SP,,Over America,
11/8/1994,,,,,"Election night [1994]: Madison, WI [1994/11/08]",
4/15/1991,0:27:40,,1 inch videotape,,Guatemala: The Dream of land,
4/15/1991,0:25:01,,1 inch videotape,,Guatemala: The Dream of land,
1991,0:28:40,,1 inch videotape,,Guatemala: The Dream of land,
4/1/2005,0:56:46,,Betacam SP,,Who's running our schools,
9/20/1991,0.041666667,,3/4 inch videotape,,Circus World: All together now,
12/5/1991,0:28:10,8/26/2013,1 inch videotape,,Stranded: Migrant workers in Wisconsin,
9/20/1991,0.041666667,,3/4 inch videotape,,Circus World: All together now,
9/7/1991,0.041666667,,Betacam SP,,Circus World,
Deaccessioned 2016-09-23 Duplicate; obsolete format,,,1 inch videotape,,Tales of the Round River: Animals open with bumpers,
9/20/1991,0.041666667,,3/4 inch videotape,,Circus World: All together now,
1991,0:27:40,,1 inch videotape,,Guatemala: The Dream of land,
1991,0:28:09,,3/4 inch videotape,,"Stranded: Migrant workers in Wisconsin, edit master 3",
8/3/1992,0:28:10,,1 inch videotape,,Stranded: Migrant workers in Wisconsin,
n.d.,0.041666667,,Betacam SP,,Elroy Hirsch,
2002,0:57:16,,D3,,Garage Rock USA,
n.d.,0.041666667,,Betacam SP,,Civil dis. Meeting,
n.d.,0:43:00,,HDCAM,,Melvin Laird footage,
6/11/2008,0:56:46,,D3,,"Any school, any time",
n.d.,0.041666667,,Betacam SP,,Latino: Dairy convention,
1992?,0:27:56,,1 inch videotape,,USS Wisconsin: The Last battleship [PBS version],
9/1/1992,0:28:07,,1 inch videotape,,USS Wisconsin: The Last battleship,
8/18/1992,0:27:56,,1 inch videotape,,USS Wisconsin: The Last battleship,
5/28/1991,,,1 inch videotape,,Tales of the Round River,
12/5/1991,0:28:10,,1 inch videotape,,Stranded: Migrant workers in Wisconsin,
1992?,0:27:56,,1 inch videotape,,USS Wisconsin: The Last battleship,
5/7/1991,0:30:00,,3/4 inch videotape,,Animal documentary: slow motion deer and geese,
12/3/1991,0:57:44,,1 inch videotape,,The Shadow game: Ari Ben-Menashe,
7/23/2007,0:30:00,,HDCAM,,PBS toolkit,
6/28/1991,0.041666667,,Betacam SP,,Toons on the Terrace: Free hot lunch,
6/28/1991,0.041666667,,Betacam SP,,Toons on the Terrace: Free hot lunch,
6/28/1991,0.041666667,,Betacam SP,,Toons on the Terrace: Free hot lunch,
10/11/1994,,,Betacam SP,,Covering new ground: Wisconsin's sustainable agriculture,
6/18/1995,0.041666667,,1 inch videotape,,"Beardstown ladies, part 1",
12/3/1992,0:30:00,,1 inch videotape,,University of Wisconsin Extension [promo],
6/14/1993,0:30:00,,1 inch videotape,,PBS collaborative series,
3/12/1991,1:30:00,,1 inch videotape,,COOP Extension teleconference: Local roads: Transportation aids and budget,
11/12/1992,2:00:00,,1 inch videotape,,Health care: Justice for all?,
9/28/1989,0.041666667,,1 inch videotape,,UWCE/Residential IAO lunch tape,
9/9/1992,0.041666667,,1 inch videotape,,Spirit of Neld: Roll-in segments,
6/26/1995,0:56:46,,1 inch videotape,,America: 200 years and counting,
6/30/1995,0:56:46,,1 inch videotape,,America: 200 years and counting,
4/23/1991,1:48:26,,1 inch videotape,,COOP Extension: Local government,
11/13/1991,0:20:00,,3/4 inch videotape,,"Stranded: Migrant workers in Wisconsin, edit master 2",
3/7/2001,2:00:00,,D3,,"CUNA and affiliates: Tools, tactics and technology for small credit union success",
1991,0:19:34,,3/4 inch videotape,,"Stranded: Migrant workers in Wisconsin, edit master 1",
11/30/1989,0:07:19,,1 inch videotape,,University of Wisconsin future's conference,
2/23/1994,1:38:00,,1 inch videotape,,Wisconsin Manufacturers and Commerce video conference,
1992,0:27:56,,D3,,USS Wisconsin: The Last battleship,
8/28/1992,0:30:00,,Betacam SP,,USS Wisconsin: The Last battleship,
1991?,0:57:44,,3/4 inch videotape,,The Shadow game: Ari Ben-Menashe,
n.d.,0:30:00,,3/4 inch videotape,,USS Wisconsin: The last battleship - USS Iowa,
n.d.,0:30:00,,3/4 inch videotape,,USS Wisconsin: The last battleship - Admiral Earl Stone interview,
n.d.,0:17:34,,3/4 inch videotape,,"USS Wisconsin: The last battleship - Battleship Wisconsin, tape 1",
n.d.,0:17:34,,3/4 inch videotape,,"USS Wisconsin: The last battleship - Battleship Wisconsin, tape 2",
n.d.,0:30:00,,3/4 inch videotape,,USS Wisconsin: The last battleship - USS Wisconsin footage,
8/28/1992,0:30:00,,3/4 inch videotape,,USS Wisconsin: The Last battleship,
n.d.,0.041666667,,Betacam SP,,USS Wisconsin: The last battleship - USS Wisconsin film transfer,
1992?,0:30:00,,VHS,,USS Wisconsin: The Last battleship,
1991,0.041666667,,3/4 inch videotape,,USS Wisconsin: The last battleship - USS Wisconsin vets cruise,
1992-01,0.041666667,,3/4 inch videotape,,"USS Wisconsin: The last battleship - Bruce Nason interview, tape 1 of 2",
n.d.,0.041666667,,3/4 inch videotape,,USS Wisconsin: The last battleship - Reunion,
n.d.,0:30:00,,3/4 inch videotape,,"USS Wisconsin: The last battleship - BB footage, tape 2 of 2",
n.d.,0.04212963,,3/4 inch videotape,,"USS Wisconsin: The last battleship - BB footage, tape 1 of 2",
n.d.,0:30:00,,3/4 inch videotape,,USS Wisconsin: The last battleship - No. 5: party,
1992?,0:30:00,,Betacam SP,,USS Wisconsin: The Last battleship,
n.d.,0:30:00,,Betacam SP,,USS Wisconsin: The Last battleship,
n.d.,0:20:21,,3/4 inch videotape,,USS Wisconsin: The last battleship - USS Wisconsin 3,
4/18/1985,0:57:45,10/29/2013,1 inch videotape,,Farm crisis '85: Strategies on survival,
9/6/1988,0:28:46,,DVCPRO,,Frank Lloyd Wright in Madison,
2006-04,5:00:00,,DVCPRO,,Former Wisconsin representative Scott Jensen trial tapes,
2/15/1984,0:59:15,,1 inch videotape,,The Farm woman,
n.d.,0:29:33,11/29/2013,1 inch videotape,,Flight from extinction,
9/27/1988,0:58:21,,1 inch videotape,,Finns of the Midwest,
9/1/1983,0:28:19,10/25/2013,1 inch videotape,,Fitting in,
9/6/1988,0:28:46,8/19/2013,DVCPRO,,Frank Lloyd Wright in Madison,
6/10/1987,0:58:31,,1 inch videotape,,"The Immortal Beethoven, part 1 of 2",
9/27/1988,0:58:21,5/14/2014,1 inch videotape,,Finns of the Midwest,
6/10/1987,0:58:31,,3/4 inch videotape,,"The Immortal Beethoven, part 1 of 2",
1/18/1983,0:28:24,,1 inch videotape,,Flight to survival,
n.d.,2:00:00,,VHS,,USS Wisconsin: The last battleship - Fleet composite squadron six RPB det,
1985,0:28:33,10/1/2013,1 inch videotape,,The Cheese masters,
6/10/1987,0:58:13,,3/4 inch videotape,,"The Immortal Beethoven, part 2 of 2",
12/20/1987,1:30:00,,1 inch videotape,,Immunology,
8/7/1986,1:30:12,,1 inch videotape,,Immunology: Hong,
n.d.,0.041666667,,1 inch videotape,,"Immunology: Sr. Snyderman, tape 1",
n.d.,0.041666667,,1 inch videotape,,"Immunology: Sr. Snyderman, tape 2",
n.d.,0:02:15,,1 inch videotape,,University of Wisconsin campus shots,
11/22/1994,0.041666667,10/4/2016,1 inch videotape,,Polka from Cuca [pledge],
6/10/1987,0:58:13,,1 inch videotape,,"The Immortal Beethoven, part 2 of 2",
2/22/1989,0:15:00,,1 inch videotape,,Historical sites PSA,
9/20/1984,0:30:00,,1 inch videotape,,Child sexual abuse: What you need to know,
n.d.,0:30:00,,1 inch videotape,,Hungary 1987: Fritz Albert,
5/1/1975,0:19:30,10/23/2013,1 inch videotape,,Hunters on wings,
6/10/1987,0:58:31,,1 inch videotape,,"The Immortal Beethoven, part 1 of 2",
6/10/1987,0:58:13,,1 inch videotape,,"The Immortal Beethoven, part 2 of 2",
7/25/1985,0:50:46,12/4/2013,1 inch videotape,,The Great Wisconsin quiz show,
9/12/1992,0.041666667,,1 inch videotape,,Nova: The Great violin mystery [813],
9/16/1992,0:58:56,,1 inch videotape,,Nova: The Great violin mystery,
8/29/1986,0:56:00,,1 inch videotape,,Great Wisconsin quiz show: 2,
8/13/1986,0:05:00,,1 inch videotape,,Hearing impaired PSAs,
n.d.,0:29:13,,1 inch videotape,,Great Midwest balloon rally,
4/24/1989,0:30:00,,1 inch videotape,,HIRSP,
3/18/1986,0:57:54,,1 inch videotape,,Hellfire: Journey from Hiroshima,
3/20/1989,0:14:17,,1 inch videotape,,History matters: A story of change,
8/29/1986,0:05:00,,1 inch videotape,,HMO PSA,
6/22/1989,0:29:06,,1 inch videotape,,Hungary 1987: Fritz Albert,
4/22/1987,0:57:00,11/20/2013,1 inch videotape,,To fly without wings: Hard scuffle steeplechase,
8/14/1986,0:28:36,4/16/2014,1 inch videotape,,Houdini,
3/18/1986,0:57:54,,1 inch videotape,,Hellfire: Journey from Hiroshima,
1/27/1987,0:58:52,,1 inch videotape,,Generation to generation,
9/6/1988,0:28:46,,1 inch videotape,,Frank Lloyd Wright in Madison,
6/22/1989,0:22:27,,1 inch videotape,,Hematoflourometer: A Closer look,
8/21/1984,0:30:00,,1 inch videotape,,The Greatest lakes,
2006-10,4:00:00,,DVCPRO,,Aztalan,
3/20/1989,0:28:46,,1 inch videotape,,The Fur trade,
1984,0:28:50,12/18/2013,Betacam SP,,The Greatest lakes,
12/11/1984,0.041666667,,1 inch videotape,,Geraldine Ferraro in Madison,
1/29/1998,0:57:39,10/20/2014,1 inch videotape,,The Germans are coming,
2/14/1991,0:28:47,1/2/2014,1 inch videotape,,Goodbye Alexa,
1/29/1998,0:57:39,,1 inch videotape,,The Germans are coming,
1/29/1998,0:57:39,,1 inch videotape,,The Germans are coming [with promo],
1978,0:58:12,11/3/2014,1 inch videotape,,"Going, going, gone: The end of the urban/industrial age",
11/22/1985,1:18:35,,1 inch videotape,,"Gondoliers, tape 1",
11/22/1985,1:04:06,,1 inch videotape,,"Gondoliers, tape 2",
7/25/1984,0:30:00,,1 inch videotape,,The Greatest lakes,
3/13/1989,0:27:48,,1 inch videotape,,The Freedom of flight: Ultraflight,
1985-09,0:28:52,2/22/2016,1 inch videotape,,The Grandstand franchise: Its second fifty years,
9/29/1983,0:29:00,,1 inch videotape,,Cooperative struggle,
1/18/1996,0:58:00,1/22/2014,1 inch videotape,,Act against violence: The peacemakers,
11/7/1985,0:57:15,4/16/2014,1 inch videotape,,Equal partners: Wisconsin�s Marital Property law,
10/14/1996,1:54:00,,1 inch videotape,,Quilts of Wisconsin,
9/29/1997,1:58:11,,1 inch videotape,,More quilts of Wisconsin [home video],
6/14/1992,1:30:00,,1 inch videotape,,Volunteer-a-thon: Program record,
8/20/1999,1:38:21,,1 inch videotape,,Quilts of Wisconsin 3 [home video],
2/9/2005,0:10:00,,miniDV,,Wolves,
9/22/2003,3:00:00,,DVCPRO,,Wildlife refuge,
2005-2008,25:00:00,,DVCPRO,,Wolves,
11/6/2000,0:30:00,,Betacam SP,,Wolves,
12/4/1992,2:00:00,,1 inch videotape,,University of Wisconsin summer session: Quality is the key,
7/23/1996,0:26:54,,1 inch videotape,,Family in crisis: A neighborhood conversation,
9/4/2003,1:30:00,,DVCPRO,,Birds in art,
2007-2008,2:30:00,,HDCAM,,Wolves,
1999,0:56:45,1/15/2014,Betacam SP,,Gone fishing,
6/9/1994,0:27:46,,1 inch videotape,,A Lynching in Marion,
11/16/1998,0:03:48,,DVD,,Pinery boy: filler,
2/7/1994,0.041666667,,1 inch videotape,,"Equine science, part 1",
n.d.,0:10:14,,1 inch videotape,,Motorcycle education,
5/29/1991,0:13:00,,1 inch videotape,,Department of Transportation: Experienced motorcycle course,
